Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.28198992e-07,-2.26041389e-08
-178.0,0.0,0.0,3.28257788e-08,-1.55159241e-07
-176.0,0.0,0.0,-5.38302560e-08,-2.62848529e-08
-174.0,0.0,0.0,3.88532680e-08,8.21156626e-09
-172.0,0.0,0.0,-5.46982627e-08,8.92189788e-08
-170.0,0.0,0.0,-3.65511454e-08,-5.53893413e-08
-168.0,0.0,0.0,1.10498254e-07,8.81545502e-08
-166.0,0.0,0.0,-7.35515751e-08,1.58984559e-07
-164.0,0.0,0.0,2.30231119e-08,6.62512879e-08
-162.0,0.0,0.0,-7.93502785e-08,8.14882272e-08
-160.0,0.0,0.0,4.47776311e-08,-1.83558534e-08
-158.0,0.0,0.0,-1.47924703e-07,-2.39734895e-08
-156.0,0.0,0.0,-4.92814009e-08,7.35636900e-08
-154.0,0.0,0.0,-2.27400869e-07,5.19640162e-08
-152.0,0.0,0.0,-5.10625478e-08,3.71041538e-08
-150.0,0.0,0.0,-6.76006835e-08,-1.36830581e-07
-148.0,0.0,0.0,-3.44797116e-08,-4.64662039e-09
-146.0,0.0,0.0,-5.86673153e-08,-1.11941053e-07
-144.0,0.0,0.0,-3.03601939e-08,-6.78251741e-08
-142.0,0.0,0.0,-1.25701149e-07,3.42962713e-08
-140.0,0.0,0.0,-1.16869837e-07,-4.70909249e-09
-138.0,0.0,0.0,-3.64367634e-08,2.24764000e-07
-136.0,0.0,0.0,-1.24082278e-07,1.90964875e-07
-134.0,0.0,0.0,-5.73340526e-08,3.71479285e-07
-132.0,0.0,0.0,-2.21537352e-07,2.85146228e-07
-130.0,0.0,0.0,-5.19867166e-08,3.68548959e-07
-128.0,0.0,0.0,-1.46155549e-07,1.50847750e-07
-126.0,0.0,0.0,-1.74243836e-07,-4.47296853e-08
-124.0,0.0,0.0,-9.32437004e-08,2.66127514e-07
-122.0,0.0,0.0,-3.41235392e-08,-1.38717328e-07
-120.0,0.0,0.0,-2.50282840e-07,3.48242331e-08
-118.0,0.0,0.0,-1.20976398e-07,-2.26825617e-08
-116.0,0.0,0.0,-2.65185941e-08,9.62245886e-09
-114.0,0.0,0.0,-1.69357375e-07,-1.92022825e-07
-112.0,0.0,0.0,-2.54018564e-07,6.54602034e-08
-110.0,0.0,0.0,-5.50075387e-10,-1.51232728e-07
-108.0,0.0,0.0,-1.12579404e-07,-7.32187821e-08
-106.0,0.0,0.0,-5.89161263e-08,-1.31865498e-07
-104.0,0.0,0.0,-1.18751056e-07,-3.38275627e-07
-102.0,0.0,0.0,-1.97996261e-07,-4.41380500e-07
-100.0,0.0,0.0,-1.03277115e-07,-4.14824188e-07
-98.0,0.0,0.0,-2.04934126e-07,-7.03227568e-07
-96.0,0.0,0.0,-1.69343332e-07,-5.51744723e-07
-94.0,0.0,0.0,-8.22026089e-08,-7.05923061e-07
-92.0,0.0,0.0,-9.53222319e-08,-7.79181127e-07
-90.0,0.0,0.0,-1.40420033e-07,-6.35985308e-07
-88.0,0.0,0.0,-8.61621743e-08,-6.99908537e-07
-86.0,0.0,0.0,-1.90798305e-07,-4.82406023e-07
-84.0,0.0,0.0,-1.37463092e-07,-6.91110840e-07
