Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,4.16636308e-02
-172.2,0.0,0.0,1.17428350e-01
-164.3,0.0,0.0,1.95572928e-01
-156.5,0.0,0.0,2.17820278e-01
-148.7,0.0,0.0,1.83601204e-01
-140.9,0.0,0.0,1.32548327e-01
-133.0,0.0,0.0,1.15344410e-01
-125.2,0.0,0.0,1.02626720e-01
-117.4,0.0,0.0,8.92052629e-02
-109.6,0.0,0.0,9.22372514e-02
-101.7,0.0,0.0,1.34763206e-01
-93.9,0.0,0.0,1.31881426e-01
-86.1,0.0,0.0,1.51509897e-01
-78.3,0.0,0.0,1.09722832e-01
-70.4,0.0,0.0,8.12155345e-02
-62.6,0.0,0.0,6.92222835e-02
-54.8,0.0,0.0,7.59714552e-02
-47.0,0.0,0.0,1.00712050e-01
-39.1,0.0,0.0,1.52619661e-01
-31.3,0.0,0.0,2.68533788e-01
-23.5,0.0,0.0,4.97452344e-01
-15.7,0.0,0.0,5.36698122e-01
-7.8,0.0,0.0,7.07896247e-01
0.0,0.0,0.0,7.20221022e-01
7.8,0.0,0.0,6.99996563e-01
15.7,0.0,0.0,6.80790164e-01
23.5,0.0,0.0,6.91173934e-01
31.3,0.0,0.0,7.08216038e-01
39.1,0.0,0.0,6.97916647e-01
47.0,0.0,0.0,6.95388109e-01
54.8,0.0,0.0,6.71251720e-01
62.6,0.0,0.0,6.22773473e-01
70.4,0.0,0.0,5.74006517e-01
78.3,0.0,0.0,5.26784452e-01
86.1,0.0,0.0,5.09277833e-01
93.9,0.0,0.0,5.25921199e-01
101.7,0.0,0.0,5.84818348e-01
109.6,0.0,0.0,6.42210337e-01
117.4,0.0,0.0,6.69165649e-01
125.2,0.0,0.0,7.02821426e-01
133.0,0.0,0.0,7.31933188e-01
140.9,0.0,0.0,7.22935768e-01
148.7,0.0,0.0,7.25445600e-01
156.5,0.0,0.0,7.55698758e-01
164.3,0.0,0.0,8.35012814e-01
172.2,0.0,0.0,1.00000000e+00
